Node1,Relationship,Node2
9E610.b,ChildIs_or,9E610.b.4
9E610.b,ChildIs_or,9E610.b.5
9E610.b,ChildIs_or,9E610.b.6
9E610.b,ChildIs_or,9E610.b.7
9E610.b,ChildIs_or,9E610.b.8
9E610.b,ChildIs_or,9E610.b.9
9E610.b,ChildIs_or,9E610.b.10
9E610.b,ChildIs_or,9E610.b.11
9E610.b,ChildIs_or,9E610.b.12
9E610.b,ChildIs_or,9E610.b.13
9E610.b,ChildIs_or,9E610.b.14
9E610.b,ChildIs_or,9E610.b.15
9E610,ChildIs,9E610.y
9E,ChildIs,9E619
9E619,ChildIs,9E619.a
9E619,ChildIs,9E619.b
9E619.b,ChildIs_or,9E619.b.1
9E619.b,ChildIs_or,9E619.b.2
9E619.b,ChildIs_or,9E619.b.3
9E619.b,ChildIs_or,9E619.b.4
9E619.b,ChildIs_or,9E619.b.5
9E619.b,ChildIs_or,9E619.b.6
9E619.b,ChildIs_or,9E619.b.7
9E619.b,ChildIs_or,9E619.b.8
9E619.b,ChildIs_or,9E619.b.9
9E619.b,ChildIs_or,9E619.b.10
9E619,ChildIs,9E619.c
9E619.c,ChildIs_or,9E619.c.1
9E619.c,ChildIs_or,9E619.c.2
9E619.c,ChildIs_or,9E619.c.3
9E619.c,ChildIs_or,9E619.c.4
9E619.c,ChildIs_or,9E619.c.5
9E619.c,ChildIs_or,9E619.c.6
9E619.c,ChildIs_or,9E619.c.7
9E619,ChildIs,9E619.y
9E,ChildIs,9E620
9E,ChildIs,9E990
9E,ChildIs,9E991
9E,ChildIs,9E993
9E993,ChildIs,9E993.a
9E993,ChildIs,9E993.b
9A004.d,specifiedBy,3A001.b.1.a.4
9A004.d,specifiedBy,3A002.g
9A004.d,specifiedBy,5A001.a.1
9A004.d,specifiedBy,5A001.b.3
9A004.d,specifiedBy,5A002.c
9A004.d,specifiedBy,5A002.e
9A004.d,specifiedBy,6A002.a.1
9A004.d,specifiedBy,6A002.a.2
9A004.d,specifiedBy,6A002.b
9A004.d,specifiedBy,6A002.d
9A004.d,specifiedBy,6A003.b
9A004.d,specifiedBy,6A004.c
9A004.d,specifiedBy,6A004.e
9A004.d,specifiedBy,6A008.d
9A004.d,specifiedBy,6A008.e
9A004.d,specifiedBy,6A008.k
9A004.d,specifiedBy,6A008
9A004.d,specifiedBy,9A010.c
9A010.a.1,specifiedBy,1C010.e
9A010.a.1,specifiedBy,1C008
9A010.a.1,specifiedBy,1C009.b
9A010.a.2.a,specifiedBy,1C007
9A010.a.2.b,specifiedBy,1C010
9A010.a.2.c,specifiedBy,1C002.a
9A010.a.3,specifiedBy,1C007
9A010.b,specifiedBy,9A005
9A010.b,specifiedBy,9A009
9A010.b.1,specifiedBy,1C010.e
9A010.b.1,specifiedBy,1C008
9A010.b.1,specifiedBy,1C009.b
9A010.b.2.a,specifiedBy,1C007
9A010.b.2.b,specifiedBy,1C010
9A010.b.2.c,specifiedBy,1C002.a
9A010.b.3,specifiedBy,1C007
9B010,specifiedBy,9A012
9D003,specifiedBy,9E003.h
9D003,specifiedBy,9A001
9D003,specifiedBy,9A003
9D003,specifiedBy,9A101
9D003,specifiedBy,9A101.b
9D003,specifiedBy,9A106.d
9D003,specifiedBy,9B604
9D003,specifiedBy,9B610
9D003,specifiedBy,9B619
